테이블 영문명,기존 컬럼영문명,표준용어 컬럼영문명,기존컬럼한글명,표준용어컬럼한글명
comm_code,code_cd,COM_CD_SN,1차공통코드코드,공통코드일련번호
comm_code,code_name,COM_CD_NM,공통코드명,공통코드명
comm_code,code_desc,COM_CD_EXPLN,공통코드설명,공통코드설명
comm_code,is_del,DEL_YN,"삭제여부(N,Y)",삭제여부
comm_code,reg_date,CRT_DT,생성일,생성일시
comm_code,upd_date,MDFCN_DT,수정일,수정일시
comm_code_child,code_child_cd,COM_CD_SN,2차공통코드코드,공통코드일련번호
comm_code_child,code_cd,FST_COM_CD_SN,1차공통코드코드,1차공통코드일련번호
comm_code_child,code_name,COM_CD_NM,공통코드명,공통코드명
comm_code_child,code_desc,COM_CD_EXPLN,공통코드설명,공통코드설명
comm_code_child,code_rank,EXPSR_RANK,노출순서,노출순서
comm_code_child,is_del,DEL_YN,"삭제여부(N,Y)",삭제여부
comm_code_child,reg_date,CRT_DT,생성일,생성일시
comm_code_child,upd_date,MDFCN_DT,수정일,수정일시
logon_logs,logon_id,LGN_ID,로그인아이디,로그인아이디
logon_logs,session_id,SESN_ID,세션아이디,세션아이디
logon_logs,logon_ip,LGN_IP_ADDR,로그인IP,로그인IP주소
logon_logs,logon_url,LGN_CNTN_LOC_URL,로그인접속지URL,로그인접속위치URL
logon_logs,logon_mode,LGN_TYPE,로그인모드,로그인유형
logon_logs,upd_date,LGN_DT,로그인일시,로그인일시
login_logs,login_idx,LGN_HIST_LOG_SN,로그인히스토리로그인덱스,로그인내역로그일련번호
login_logs,login_idx,LGN_ID,로그인아이디,로그인아이디
login_logs,session_id,SESN_ID,세션아이디,세션아이디
login_logs,login_ip,LGN_IP_ADDR,로그인IP,로그인IP주소
login_logs,login_url,LGN_CNTN_LOC_URL,로그인접속지URL,로그인접속위치URL
login_logs,login_mode,LGN_TYPE,로그인모드,로그인유형
login_logs,reg_date,LGN_DT,로그인일시,로그인일시
page_view_logs,page_view_idx,PAGE_VST_LOG_SN,페이지방문로그인덱스,페이지방문로그일련번호
page_view_logs,login_idx,LGN_HIST_LOG_SN,로그인히스토리로그인덱스,로그인내역로그일련번호
page_view_logs,menu_child_idx,MENU_MNG_2_SN,메뉴관리2차테이블인덱스,메뉴관리2차일련번호
page_view_logs,page_view_url,PAGE_URL,페이지URL,페이지URL
page_view_logs,view_desc,PAGE_LOG_DTL,페이지로그상세내용,페이지로그상세내용
page_view_logs,reg_date,VST_DT,방문일시,방문일시
bbs_setup,bbs_set_idx,BBS_STUP_SN,게시판설정인덱스,게시판설정일련번호
bbs_setup,bbs_title,BBS_NM,게시판명,게시판명
bbs_setup,bbs_type,BBS_TYP,게시판타입,게시판유형
bbs_setup,reply_auth,RPLY_AUTHRT,댓글권한,댓글권한
bbs_setup,view_auth,READ_AUTHRT,보기권한,열람권한
bbs_setup,write_auth,WR_AUTHRT,쓰기권한,생성/수정권한
bbs_setup,step_lv,DPTH_LIM_SEUP,계층레벨제한,계층한도설정
bbs_setup,file_cnt,ULD_FILE_CNT,업로드파일개수,업로드파일갯수
bbs_setup,file_size,ULD_FILE_SZ,업로드파일사이즈,업로드파일크기
bbs_setup,file_type,ULD_FILE_TYP,업로드파일타입,업로드파일유형
bbs_setup,page_size,PAGE_SZ,페이지사이즈,페이지크기
bbs_setup,is_del,DEL_YN,삭제여부,삭제여부
bbs_setup,reg_date,CRT_DT,생성일,생성일시
bbs_setup,upd_date,MDFCN_DT,수정일,수정일시
bbs,bbs_idx,BBS_PST_SN,게시판게시글인덱스,게시판게시물일련번호
bbs,bbs_set_idx,BBS_STUP_SN,게시판설정인덱스,게시판설정일련번호
bbs,mem_id,STDNT_ID,학습자ID,학생ID
bbs,t_id,INSTR_ID,강사ID,강사ID
bbs,mng_id,MNGR_ID,관리자ID,관리자ID
bbs,bbs_title,PST_TTL,게시글제목,게시물제목
bbs,bbs_pw,PST_PW,게시글비밀번호,게시물비밀번호
bbs,bbs_content,PST_CONTS,게시글내용,게시물내용
bbs,is_main,MAIN_YN,"메인노출여부(N,Y)",메인노출여부
bbs,is_notice,NTC_YN,"공지여부(N,Y)",공지여부
bbs,view_cnt,VIEW_CNT,보기수,열람횟수
bbs,step_lv,PST_DPTH_LIM,게시글계층레벨,게시물계층한도
bbs,bbs_parent_idx,PARNT_PST_SN,부모글인덱스,부모게시물일련번호
bbs,is_del,DEL_YN,"삭제여부(N,Y)",삭제여부
bbs,reg_date,CRT_DT,생성일,생성일시
bbs,upd_date,MDFCN_DT,수정일,수정일시
bbs,bbs_file1,ATCH_FILE_NM1,게시판첨부파일1,첨부파일1
bbs,bbs_file2,ATCH_FILE_NM2,게시판첨부파일2,첨부파일2
bbs,bbs_file3,ATCH_FILE_NM3,게시판첨부파일3,첨부파일3
bbs,bbs_file4,ATCH_FILE_NM4,게시판첨부파일4,첨부파일4
bbs,bbs_file5,ATCH_FILE_NM5,게시판첨부파일5,첨부파일5
bbs,keyword,CTGRY_KYWD,카테고리키워드,카테고리키워드
bbs_file,bbs_file_idx,BBS_ATCH_FILE_SN,게시판파일관리인덱스,게시판파일일련번호
bbs_file,bbs_idx,BBS_PST_SN,게시판게시글인덱스,게시판게시물일련번호
bbs_file,file_path,ATCH_FILE_PATH,파일경로,파일경로
bbs_file,file_name,ATCH_FILE_NM,파일명,파일명
bbs_file,file_size,ATCH_FILE_SZ,파일사이즈,파일크기
bbs_file,down_cnt,DWNLD_CNT,다운로드수,다운로드수
bbs_file,reg_date,CRT_DT,생성일,생성일시
banner,banner_idx,BNR_SN,배너관리인덱스,배너일련번호
banner,banner_title,BNR_NM,배너명,배너명
banner,banner_desc,BNR_DSCTN,배너설명,배너설명
banner,banner_img,IMG_FILE,이미지파일,이미지파일
banner,banner_link,LNK_URL,링크URL,링크URL
banner,is_view,INDCT_YN,노출여부,표시여부
banner,is_del,DEL_YN,삭제여부,삭제여부
banner,reg_date,CRT_DT,생성일,생성일시
banner,upd_date,MDFCN_DT,수정일,수정일시
banner,banner_img2,IMG_FILE2,이미지파일2,이미지파일2
cardnews,cardnews_idx,CRDNWS_SN,카드뉴스인덱스,카드뉴스일련번호
cardnews,cardnews_title,CRDNWS_NM,카드뉴스명,카드뉴스명
cardnews,cardnews_desc,CRDNWS_DSCTN,카드뉴스설명,카드뉴스설명
cardnews,cardnews_img,CRDNWS_IMG,카드뉴스이미지,카드뉴스이미지
cardnews,cardnews_link,CRDNWS_LNK,카드뉴스링크,카드뉴스링크
cardnews,is_view,INDCT_YN,노출여부,표시여부
cardnews,is_del,DEL_YN,삭제여부,삭제여부
cardnews,reg_date,CRT_DT,생성일,생성일시
cardnews,upd_date,MDFCN_DT,수정일,수정일시
cardnews,start_DATE,BGNG_DT,게재기간시작일,시작일시
cardnews,end_DATE,END_DT,게재기간종료일,종료일시
policy_doc,policy_idx,PLCY_SN,약관관리인덱스,약관일련번호
policy_doc,policy_title,PLCY_TTL,약관명,약관명
policy_doc,policy_desc,PLCY_DSCTN,약관내용,약관내용
policy_doc,is_view,INDCT_YN,노출여부,표시여부
policy_doc,is_del,DEL_YN,삭제여부,삭제여부
policy_doc,reg_date,CRT_DT,생성일,생성일시
policy_doc,upd_date,MDFCN_DT,수정일,수정일시
policy_doc,policy_type,PLCY_TYP,약관타입,약관유형
link_site,link_site_idx,LNK_SITE_SN,관련사이트관리인덱스,관련사이트일련번호
link_site,link_site_title,LNK_SITE_TTL,사이트명,사이트명
link_site,link_site_link,LNK_URL,링크URL,링크URL
link_site,is_view,INDCT_YN,노출여부,표시여부
link_site,is_del,DEL_YN,삭제여부,삭제여부
link_site,reg_date,CRT_DT,생성일,생성일시
link_site,upd_date,MDFCN_DT,수정일,수정일시
cs_info,cs_info_idx,CS_CNTR_INFO_SN,고객센터정보관리인덱스,고객센터정보일련번호
cs_info,org_title,ORG_NM,기관명,기관명
cs_info,email,E_MAIL,이메일,이메일
cs_info,phone,TELNO,전화번호,전화번호
cs_info,work_time,WORK_HR,평일업무시간,업무시간
cs_info,break_time,WORK_HR,브레이크타임,업무시간
cs_info,is_del,DEL_YN,삭제여부,삭제여부
cs_info,reg_date,CRT_DT,생성일,생성일시
cs_info,upd_date,MDFCN_DT,수정일,수정일시
popup,popup_idx,POPUP_SN,팝업관리인덱스,팝업일련번호
popup,popup_title,POPUP_TTL,팝업명,팝업명
popup,size_width,Width,넓이,가로
popup,size_height,Height,높이,세로
popup,pos_x,X-Coordinate,x좌표,x좌표
popup,pos_y,Y-Coordinate,y좌표,y좌표
popup,start_DATE,POPUP_BGNG_DT,팝업시작일,팝업게시일시
popup,end_DATE,POPUP_END_DT,팝업종료일,팝업종료일시
popup,popup_link,LNK_URL,링크URL,링크URL
popup,popup_img,IMG_FILE,이미지파일,이미지파일
popup,is_view,INDCT_YN,노출여부,표시여부
popup,is_del,DEL_YN,삭제여부,삭제여부
popup,reg_date,CRT_DT,생성일,생성일시
popup,upd_date,MDFCN_DT,수정일,수정일시
survey_item,survey_item_idx,SRVY_QITEM_SN,설문항목인덱스,설문항목일련번호
survey_item,survey_idx,SRVY_SN,설문인덱스,설문일련번호
survey_item,survey_contents,SRVY_QITEM_CN,설문내용,설문내용
survey_item,survey_case1,CHO_OPT1,객관식보기1,객관식보기1
survey_item,survey_case2,CHO_OPT2,객관식보기2,객관식보기2
survey_item,survey_case3,CHO_OPT3,객관식보기3,객관식보기3
survey_item,survey_case4,CHO_OPT4,객관식보기4,객관식보기4
survey_item,survey_case5,CHO_OPT5,객관식보기5,객관식보기5
survey_item,is_del,DEL_YN,삭제여부,삭제여부
survey_item,reg_date,CRT_DT,생성일,생성일시
survey_item,upd_date,MDFCN_DT,수정일,수정일시
survey,survey_idx,SRVY_SN,설문인덱스,설문일련번호
survey,survey_title,SRVY_TTL,설문명,설문명
survey,survey_type,SRVY_TYP,설문구분,설문유형
survey,start_DATE,BGNG_DT,설문시작일,시작일시
survey,end_DATE,END_DT,설문종료일,종료일시
survey,is_use,USG_YN,사용여부,사용여부
survey,reg_date,CRT_DT,생성일,생성일시
survey,upd_date,MDFCN_DT,수정일,수정일시
survey,mng_id,MNGR_ID,관리자아이디,관리자ID
survey,is_del,DEL_YN,삭제여부,삭제여부
survey_answer,survey_ans_idx,SRVY_RSLT_SN,설문결과인덱스,설문결과일련번호
survey_answer,survey_item_idx,SRVY_QITEM_SN,설문항목인덱스,설문항목일련번호
survey_answer,survey_ans,SRVY_ANS,설문답변,설문답변
survey_answer,reg_date,CRT_DT,생성일,생성일시
survey_answer,upd_date,MDFCN_DT,수정일,수정일시
survey_answer,mem_id,STDNT_ID,학습자ID,학생ID
survey_answer,lec_study_log_idx,LEC_STD_SN,과정수강내역인덱스,과정수강내역일련번호
survey_answer,cms_study_log_idx,CONTS_STD_SN,콘텐츠로그관리인덱스,콘텐츠수강내역일련번호
sms,sms_idx,SMS_SN,문자관리인덱스,문자일련번호
sms,mem_idx,STDNT_SN,학습자인덱스,학생일련번호
sms,mng_idx,MNGR_SN,관리자인덱스,관리자일련번호
sms,mobile,PH_NO,핸드폰번호,핸드폰번호
sms,contents,DTL_EXP,내용,상세내용
sms,send_DATE,SNDNG_DT,발송일,발송일시
sms,reg_date,CRT_DT,생성일,생성일시
sms,rs_code,RTN_CD,생성일,반환코드
sms,t_idx,INSTR_SN,강사ID,강사일련번호
page_content,page_content_idx,SPCLZ_EDU_PAGE_SN,페이지컨텐츠인덱스,페이지콘텐츠일련번호
page_content,page_name,PAGE_NM,페이지명,페이지명
page_content,page_content,SPCLZ_EDU_PAGE_CONTS,컨텐츠내용,콘텐츠내용
page_content,upd_date,MDFCN_DT,수정일,수정일시
page_content,reg_date,CRT_DT,생성일,생성일시
private_log,private_log_idx,PRVC_LOG_SN,개인정보처리인덱스,개인정보처리로그일련번호
private_log,mem_id,STDNT_ID,학습자ID,학생ID
private_log,t_id,INSTR_ID,강사ID,강사ID
private_log,mng_id,MNGR_ID,관리자ID,관리자ID
private_log,private_ip,CNTN_LOC_IP,접속지정보,접속위치
private_log,private_job,FLFMT_TSK,수행업무,수행업무
private_log,private_rs,FLFMT_TSK_RSN,수행업무사유,수행업무사유
private_log,t_mng_id,PRCS_MNG_ID,처리한관리자ID,처리관리자ID
private_log,reg_date,CRT_DT,생성일,생성일시
ip_mng,ip_mng_idx,CNTN_LIM_SN,접속제한관리인덱스,접속제한일련번호
ip_mng,ip_type,CNTN_LIM_TYP,제한타입,제한유형
ip_mng,ip_name,CNTN_LIM_TTL,제한명,제한명
ip_mng,ip_addr,IP_ADDR,IP주소,IP주소
ip_mng,mng_id,MNGR_ID,관리자아이디,관리자ID
ip_mng,reg_date,CRT_DT,생성일,생성일시
ip_mng,upd_date,MDFCN_DT,수정일,수정일시
old_member,old_mem_idx,PREV_MBR_SN,이전회원인덱스,이전회원일련번호
old_member,old_mem_hp,TELNO,회원핸드폰번호,전화번호
old_member,old_mem_email,EML_ADDR,회원이메일,이메일주소
old_member,old_mem_name,NM,회원이름,이름
old_member,old_mem_id,ID,회원아이디,아이디
job_info,job_info_idx,RECR_INFO_SN,채용정보인덱스,채용정보일련번호
job_info,job_info,RECR_INFO,채용정보인덱스,채용정보
job_info,upd_date,MDFCN_DT,수정일,수정일시
days,inday,DAY,일자,일자
days,indayn,,인트타입일자,
days,months,PER_MM,월별,월별
special_sch,special_sh_idx,SPCLZ_CHL_MNGM_SN,특성화교인덱스,특성화교일련번호
special_sch,school_type,SCH_TYP,학교타입,학교유형
special_sch,business_content,BIZ_DSCTN,사업소개,사업소개
special_sch,selection_standard,SLCTN_STD,선정기준,선정기준
special_sch,selection_standard_sub,SLCTN_STD_DSCTN,선정기준설명,선정기준설명
special_sch,selection_qual,SLCTN_REQM,선정자격,선정자격
special_sch,selection_qual_sub,SLCTN_REQM_DSCTN,선정자격설명,선정자격설명
special_sch,support_amount,SLCTN_REQM,지원금,지원금
special_sch,support_content,FN_SUP_DSCTN,지원내용,지원내용
special_sch,upd_date,MDFCN_DT,수정일,수정일시
special_sch_detail,school_idx,APLY_CHL_SN,지원학교인덱스,지원학교일련번호
special_sch_detail,school_type,SCH_TYP,학교타입,학교유형
special_sch_detail,school_name,APLY_CHL_NM,학교명,학교명
special_sch_detail,department,APLY_CHL_MJR_NM,학과명,학과명
special_sch_detail,selection_year,SLCTN_YR,선정연도,선정연도
special_sch_detail,link_url,APLY_CHL_URL,학교홈페이지URL,학교홈페이지URL
special_sch_detail,school_img,APLY_CHL_LOGO_IMG,학교로고이미지,학교로고이미지
special_sch_detail,support_status,APLY_STAT,지원상태,지원상태
special_sch_detail,reg_date,CRT_DT,등록일,생성일시
special_sch_detail,upd_date,MDFCN_DT,수정일,수정일시
special_sch_detail,is_del,DEL_YN,삭제여부,삭제여부
intro_portal,intro_portal_idx,EDU_PTL_INTRO_SN,교육포털소개인덱스,교육포털소개일련번호
intro_portal,intro_title,INTRO_TTL,인사말제목,인사말제목
intro_portal,intro_content,INTRO_CONTS,인사말내용,인사말내용
intro_portal,bizinfo_title,BIZ_INTRO_TTL,사업안내제목,사업안내제목
intro_portal,bizinfo_item1,BIZ_INTR_ARTCL1,사업안내리스트1번항목,사업안내항목1
intro_portal,bizinfo_item2,BIZ_INTR_ARTCL2,사업안내리스트2번항목,사업안내항목2
intro_portal,bizinfo_item3,BIZ_INTR_ARTCL3,사업안내리스트3번항목,사업안내항목3
intro_portal,bizinfo_item1_content,BIZ_INTRO_CONTS_DTL1,사업안내1번항목상세내용,사업상세내용1
intro_portal,bizinfo_item2_content,BIZ_INTRO_CONTS_DTL2,사업안내2번항목상세내용,사업상세내용2
intro_portal,bizinfo_item3_content,BIZ_INTRO_CONTS_DTL3,사업안내3번항목상세내용,사업상세내용3
intro_portal,benefit_title,BIZ_BNF_TTL,혜택제목,혜택제목
intro_portal,benefit_item1,BNF_ARTCL1,혜택리스트1번항목,혜택항목1
intro_portal,benefit_item2,BNF_ARTCL2,혜택리스트2번항목,혜택항목2
intro_portal,benefit_item1_content,BNF_DTL1,혜택1번항목상세내용,혜택상세내용1
intro_portal,benefit_item2_content,BNF_DTL2,혜택2번항목상세내용,혜택상세내용2
intro_portal,upd_date,MDFCN_DT,수정일,수정일시
teacher,t_idx,INSTR_SN,강사인덱스,강사일련번호
teacher,t_id,INSTR_ID,강사아이디,강사ID
teacher,t_pw,INSTR_PW,강사비밀번호,강사비밀번호
teacher,t_name,INSTR_NM,강사명,강사명
teacher,t_hp1,PFX_CD,연락처1,지역번호
teacher,t_hp2,EXCH_NUM,연락처2,전화번호앞자리
teacher,t_hp3,LN_NUM,연락처3,전화번호뒷자리
teacher,t_email1,EMAIL_ID,이메일1,이메일ID
teacher,t_email2,DMN_ADD,이메일2,도메인주소
teacher,is_del,DEL_YN,삭제여부,삭제여부
